1734;2010;1890
1734;2010;1890
1704;1960;1819
1704;1970;1773
1688;1938;1744
1672;1944;1728
1672;1906;1714
1664;1912;1710
1664;1918;1710
1662;1942;1709
1654;1938;1695
1654;1874;1688
1654;1906;1688
1654;1910;1689
1654;1902;1689
1654;1914;1687
1654;1898;1684
1654;1938;1684
1654;1916;1687
1654;1912;1686
1654;1884;1680
1654;1906;1685
1654;1878;1683
1654;1898;1686
1654;1900;1685
1654;1926;1688
1654;1874;1689
1654;1914;1686
1654;1882;1686
1654;1882;1687
1654;1906;1686
1654;1886;1685
1654;1874;1686
1654;1896;1685
1654;1924;1683
1654;1898;1684
1654;1898;1688
1654;1910;1686
1654;1892;1690
1654;1938;1685
1654;1908;1688
1654;1944;1687
1654;1912;1689
1654;1878;1683
1654;1938;1686
1654;1904;1686
1654;1944;1686
1654;1930;1684
1654;1890;1683
1654;1948;1685
1654;1916;1687
1654;1882;1687
1654;1894;1681
1654;1874;1680
1654;1882;1687
1654;1926;1684
1654;1900;1684
1654;1884;1686
1654;1934;1688
1654;1940;1686
1654;1934;1686
1654;1918;1686
1654;1886;1683
1654;1914;1681
1654;1918;1686
1654;1952;1686
1654;1890;1685
1654;1956;1688
1654;1918;1684
1654;1956;1689
1654;1914;1690
1654;1902;1684
1654;1872;1689
1654;1892;1685
1654;1906;1687
1654;1956;1690
1654;1910;1686
1654;1928;1687
1654;1900;1688
1654;1914;1687
1654;1918;1687
1654;1918;1686
1654;1920;1687
1654;1940;1688
1654;1956;1688
1654;1882;1680
1654;1968;1687
1654;1964;1683
1654;1890;1682
1654;1890;1685
1654;1896;1688
1654;1882;1686
1654;1910;1688
1654;1900;1687
1654;1898;1690
1654;1938;1690
1654;1904;1684
1654;1906;1687
1654;1922;1681
1654;1898;1688
1654;1870;1682
1654;1924;1686
1654;1946;1688
1654;1922;1687
1654;1914;1685
1654;1882;1688
1654;1906;1685
1654;1950;1689
1654;1894;1689
1654;1942;1690
1654;1912;1687
1654;1926;1685
1654;1962;1683
1654;1892;1682
1654;1882;1685
1654;1888;1686
1654;1896;1685
1654;1890;1684
1654;1926;1686
1654;1900;1687
1654;1926;1686
1654;1938;1684
1654;1894;1687
1654;1936;1686
1654;1882;1684
1654;1894;1684
1654;1886;1690
1654;1884;1686
1654;1890;1685
1654;1866;1685
1654;1868;1682
1654;1956;1689
1654;1882;1686
1654;1896;1691
1654;1964;1684
1654;1912;1689
1654;1912;1685
1654;1932;1685
1654;1916;1685
1654;1914;1685
1654;1894;1684
1654;1930;1690
1654;1934;1683
1654;1890;1689
1654;1920;1684
