2952;3356;3154;
2952;3356;3154;
2952;3262;3105;
2888;3294;3082;
2892;3252;3051;
2860;3266;3050;
2872;3248;3034;
2846;3210;3019;
2838;3252;3022;
2824;3240;3024;
2824;3316;3032;
2848;3240;3035;
2858;3238;3026;
2836;3290;3038;
2848;3248;3035;
2836;3264;3041;
2820;3326;3049;
2820;3306;3034;
2800;3254;3017;
2778;3330;3005;
2822;3256;3005;
2772;3266;3001;
2752;3224;2985;
2814;3250;3012;
2802;3238;3018;
2802;3284;3021;
2802;3268;3022;
2806;3312;3021;
2810;3250;3022;
2810;3210;3012;
2820;3308;3023;
2820;3254;3009;
2824;3302;3024;
2840;3246;3028;
2790;3250;3024;
2862;3256;3029;
2826;3416;3024;
2842;3288;3022;
2854;3230;3027;
2882;3308;3028;
2882;3234;3052;
2882;3246;3042;
2830;3214;3031;
2830;3280;3042;
2836;3240;3039;
2812;3250;3043;
2812;3272;3012;
2812;3242;3009;
2820;3364;3027;
2826;3300;3014;
2796;3242;2996;
2844;3252;2995;
2844;3244;3017;
2834;3216;3015;
2828;3274;3015;
2806;3328;3019;
2860;3274;3028;
2858;3264;3032;
2842;3320;3032;
2856;3264;3037;
2848;3230;3036;
2840;3274;3034;
2846;3248;3050;
2852;3278;3051;
2792;3318;3047;
2812;3280;3028;
2812;3306;3032;
2816;3218;3019;
2814;3254;3005;
2802;3240;3009;
2768;3212;2998;
2808;3232;3001;
2820;3280;3011;
2786;3264;2999;
2810;3308;2992;
2818;3258;2995;
2824;3370;3019;
2804;3278;3023;
2798;3334;3001;
2822;3232;3027;
2818;3238;3024;
2794;3280;3029;
2776;3226;3015;
2776;3242;3034;
2768;3232;3008;
2806;3306;2998;
2820;3200;3008;
2800;3232;3002;
2820;3236;3020;
2820;3304;2998;
2820;3296;3014;
2816;3228;3014;
2794;3274;2999;
2808;3242;3029;
2810;3272;3014;
2764;3224;3019;
2764;3232;3026;
2762;3288;3023;
2742;3268;3020;
2768;3246;3006;
