4072;4388;4236;
4072;4388;4236;
3980;4446;4228;
4010;4414;4229;
4008;4414;4216;
3978;4428;4230;
4054;4464;4204;
4002;4440;4217;
3994;4396;4229;
4030;4464;4227;
4016;4440;4230;
3998;4464;4234;
3952;4428;4227;
3944;4452;4220;
4004;4440;4228;
3998;4550;4239;
4034;4448;4225;
4012;4482;4225;
4016;4390;4213;
4070;4432;4227;
4038;4446;4218;
4040;4472;4227;
4068;4384;4233;
3978;4508;4221;
4002;4392;4206;
3956;4390;4224;
4004;4456;4223;
4024;4396;4211;
3986;4382;4215;
4046;4442;4237;
4020;4420;4226;
4038;4398;4227;
4034;4430;4237;
4018;4402;4222;
4030;4444;4227;
4052;4474;4238;
4030;4474;4226;
4050;4428;4220;
4022;4490;4224;
4004;4440;4228;
4002;4454;4233;
4056;4426;4224;
4032;4428;4238;
4024;4424;4231;
4008;4404;4219;
3990;4386;4227;
4006;4488;4221;
4028;4422;4235;
4000;4464;4229;
3988;4420;4224;
3918;4460;4233;
3956;4434;4214;
3970;4428;4226;
4070;4462;4230;
4056;4404;4231;
3920;4450;4229;
4000;4400;4233;
3934;4468;4244;
3986;4426;4224;
3974;4466;4231;
4018;4420;4213;
3984;4496;4230;
4042;4452;4229;
4044;4420;4226;
3936;4440;4206;
3960;4468;4212;
3980;4444;4232;
4036;4434;4230;
3966;4430;4219;
4034;4414;4239;
4060;4446;4226;
3986;4472;4244;
3948;4372;4220;
3956;4454;4220;
3948;4396;4220;
4018;4388;4217;
4054;4386;4228;
4006;4432;4239;
3996;4432;4234;
3996;4454;4224;
3974;4396;4234;
4040;4400;4200;
3974;4434;4212;
4010;4472;4240;
4032;4400;4215;
4002;4416;4228;
4024;4458;4217;
3968;4440;4217;
4022;4458;4227;
4014;4430;4226;
3930;4446;4226;
4046;4490;4236;
4022;4426;4231;
4066;4460;4246;
4034;4418;4214;
3894;4422;4229;
3982;4526;4247;
4006;4472;4224;
4016;4410;4227;
3992;4388;4220;
